fid,VALUE,grid_name,net_dis,perH_sum,pti,city,max,min,median
1,768.94497,2,769,0,0,Hilden,0.11,0.04,0
2,855.81989,3,856,0,0,Hilden,0.11,0.04,0
3,988.74922,4,989,,,Hilden,0.11,0.04,0
4,707.28729,5,707,0,0,Hilden,0.11,0.04,0
5,166.20974,6,166,0,0,Hilden,0.11,0.04,0
6,545.75839,7,546,0,0,Hilden,0.11,0.04,0
7,534.9425,8,535,0,0,Hilden,0.11,0.04,0
8,581.81604,9,582,0,0,Hilden,0.11,0.04,0
9,924.42967,10,924,0,0,Hilden,0.11,0.04,0
10,450.78054,11,451,16.666666667,0.0369729062993713,Hilden,0.11,0.04,0
11,155.52592,12,156,0,0,Hilden,0.11,0.04,0
12,150.39108,13,150,0,0,Hilden,0.11,0.04,0
13,332.54265,14,333,0,0,Hilden,0.11,0.04,0
14,340.0874,15,340,0,0,Hilden,0.11,0.04,0
15,772.50642,16,773,0,0,Hilden,0.11,0.04,0
16,878.06171,17,878,0,0,Hilden,0.11,0.04,0
17,154.46499,18,154,16.666666667,0.107899315352948,Hilden,0.11,0.04,0
18,160.04669,19,160,0,0,Hilden,0.11,0.04,0
19,499.04745,20,499,,,Hilden,0.11,0.04,0
20,943.595,21,944,,,Hilden,0.11,0.04,0
21,966.04162,22,966,,,Hilden,0.11,0.04,0
22,195.37836,23,195,0,0,Hilden,0.11,0.04,0
